sys.exec.out.time {s},position {m},velocity {m/s},acceleration {m/s2},
0, 1, 0, -9.81
0.01, 0.999559, -0.0981, -9.81
0.02, 0.998136, -0.1962, -9.81
0.03, 0.995733, -0.2943, -9.81
0.04, 0.992348, -0.3924, -9.81
0.05, 0.987983, -0.4905, -9.81
0.06, 0.982636, -0.5886, -9.81
0.07, 0.976309, -0.6867, -9.81
0.08, 0.969, -0.7848, -9.81
0.09, 0.960711, -0.8829, -9.81
0.1, 0.951441, -0.981, -9.81
0.11, 0.941189, -1.0791, -9.81
0.12, 0.929957, -1.1772, -9.81
0.13, 0.917743, -1.2753, -9.81
0.14, 0.904549, -1.3734, -9.81
0.15, 0.890373, -1.4715, -9.81
0.16, 0.875217, -1.5696, -9.81
0.17, 0.859079, -1.6677, -9.81
0.18, 0.841961, -1.7658, -9.81
0.19, 0.823861, -1.8639, -9.81
0.2, 0.804781, -1.962, -9.81
0.21, 0.78472, -2.0601, -9.81
0.22, 0.763677, -2.1582, -9.81
0.23, 0.741654, -2.2563, -9.81
0.24, 0.718649, -2.3544, -9.81
0.25, 0.694664, -2.4525, -9.81
0.26, 0.669697, -2.5506, -9.81
0.27, 0.64375, -2.6487, -9.81
0.28, 0.616821, -2.7468, -9.81
0.29, 0.588912, -2.8449, -9.81
0.3, 0.560021, -2.943, -9.81
0.31, 0.53015, -3.0411, -9.81
0.32, 0.499298, -3.1392, -9.81
0.33, 0.467464, -3.2373, -9.81
0.34, 0.43465, -3.3354, -9.81
0.35, 0.400854, -3.4335, -9.81
0.36, 0.366078, -3.5316, -9.81
0.37, 0.33032, -3.6297, -9.81
0.38, 0.293582, -3.7278, -9.81
0.39, 0.255862, -3.8259, -9.81
0.4, 0.217162, -3.924, -9.81
0.41, 0.177481, -4.0221, -9.81
0.42, 0.136818, -4.1202, -9.81
0.43, 0.0951747, -4.2183, -9.81
0.44, 0.0525502, -4.3164, -9.81
0.45, 0.00894475, -4.4145, -9.81
0.46, 0.0244787, 3.02584, -9.81
0.47, 0.0542957, 2.92774, -9.81
0.48, 0.0831316, 2.82964, -9.81
0.49, 0.110987, 2.73154, -9.81
0.5, 0.13786, 2.63344, -9.81
0.51, 0.163753, 2.53534, -9.81
0.52, 0.188665, 2.43724, -9.81
0.53, 0.212596, 2.33914, -9.81
0.54, 0.235546, 2.24104, -9.81
0.55, 0.257515, 2.14294, -9.81
